Year,target_variable,Department,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
2015,Human Welfare & Neighborhood Development,Child Support Services,IT Operations Support Admin IV,31764,36675,0,0,36675,8226.18,4300.79,2780.02,15306.99,51981.99
2014,General Administration & Finance,Elections,Elections Clerk,18109,23634.74,2581,0,26215.74,0,5983.31,2035.22,8018.53,34234.27
2015,"Public Works, Transportation & Commerce",PUC Water Department,Chemist I/II,5168,86926.14,0,0,86926.14,19497.46,11199.91,7159.76,37857.13,124783.27
2013,"Public Works, Transportation & Commerce",PUC Water Department,Water Qualitytech I/II,5608,73993.8,0,0,73993.8,13474.36,12801.79,6159.46,32435.61,106429.41
2015,Public Protection,Sheriff,Sheriff's Sergeant,20776,117330.71,17935.5,14601.09,149867.3,30202.54,12500.55,2539.81,45242.9,195110.2
2014,Culture & Recreation,Recreation and Park Commission,Recreation Coordinator,50291,60070.2,0,1240.05,61310.25,13071.35,12512.55,5061.53,30645.43,91955.68
2015,Public Protection,Public Defender,Social Worker,13982,69247,0,0,69247,14272.17,12424.5,5698.43,32395.1,101642.1
2014,Community Health,Public Health,"Sr Marriage, Fam & Cld Cnslr",36996,92723.2,0,2005.95,94729.15,20196.27,12503.56,7666.56,40366.39,135095.54
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Public Relations Officer,51931,79089.04,0,840,79929.04,14555.02,11660.04,5854.77,32069.83,111998.87
2014,Human Welfare & Neighborhood Development,Human Services,Human Services Technician,6857,50156,6422.47,0,56578.47,11816.97,12552.83,4549.34,28919.14,85497.61
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Traffic Survey Technician,2330,73957.16,861.75,230,75048.91,15287.05,12424.47,5940.14,33651.66,108700.57
2016,"Public Works, Transportation & Commerce",Airport Commission,Sheet Metal Supervisor 1,49594,15549.33,0,8365.87,23915.2,2907.99,1789.6,1945.17,6642.76,30557.96
2014,Public Protection,District Attorney,Victim/Witness Investigator 3,31448,89659.82,0,0,89659.82,19115.5,12512.55,7323.82,38951.87,128611.69
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Manager VII, MTA",40965,182870.8,0,0,182870.8,35028.47,12918.25,17652.18,65598.9,248469.7
2016,Community Health,Public Health,Porter Assistant Supervisor,45014,63732.71,0,1205.1,64937.81,12084.95,13068.8,5339.97,30493.72,95431.53
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Architectural Associate 1,25218,94343,0,0,94343,21161.13,12356.85,7391.54,40909.52,135252.52
2014,Culture & Recreation,Recreation and Park Commission,Arborist Technician Supervisor,14162,11085.7,0,0,11085.7,2363.48,1656.97,913.43,4933.88,16019.58
2014,General Administration & Finance,City Attorney,"Head Atty, Civil & Criminal",40296,169930.04,0,937.5,170867.54,36615.13,11548.6,9228.15,57391.88,228259.42
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Custodial Assistant Supervisor,37827,59036.01,69.37,4980.32,64085.7,13648.3,12472.46,5276.34,31397.1,95482.8
2013,Human Welfare & Neighborhood Development,Human Services,Clinical Psychologist,21274,21578.4,0,243.49,21821.89,3928.52,2655.42,1595.59,8179.53,30001.42
2014,Human Welfare & Neighborhood Development,Human Services,Child Care Specialist,27060,47310.91,0,0,47310.91,11742.6,12512.55,3909.32,28164.47,75475.38
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,IS Programmer Analyst,50046,17018.3,0,0,17018.3,3099.04,2870.71,1370.66,7340.41,24358.71
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Auto Svc Wrk Asst Sprv,42177,70369.36,6992.35,13882.5,91244.21,15811.64,12918.25,7382.81,36112.7,127356.91
2014,Public Protection,Juvenile Probation,"Counselor, Juvenile Hall SFERS",20664,5020.9,44.2,98.25,5163.35,0,1154.86,399.74,1554.6,6717.95
2015,General Administration & Finance,Assessor/Recorder,Asr Senior Office Specialist,44330,15952.76,0,0,15952.76,2968.83,3324.15,1276.29,7569.27,23522.03
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Parking Hearing Examiner,39484,49560.37,0,0,49560.37,10844.26,7010.76,4064.92,21919.94,71480.31
2013,Community Health,Public Health,Sr Environmental Hlth Insp,10871,105877.16,0,1020,106897.16,20483.91,12108.77,8616.11,41208.79,148105.95
2014,Community Health,Public Health,Senior Food Service Worker,26659,25416.89,22589.58,3955.63,51962.1,6822.11,6495.97,3959.39,17277.47,69239.57
2015,General Administration & Finance,Mayor,Community Development Asst,48628,28739.41,0,3137.07,31876.48,6446.24,0,2638.56,9084.8,40961.28
2014,Community Health,Public Health,Sr Psychiatric Social Worker,8948,92790.32,0,1748,94538.32,20155.58,12512.55,7789.46,40457.59,134995.91
2013,"Public Works, Transportation & Commerce",Airport Commission,Airport Communications Disp,33433,81945.13,10478.8,6602.33,99026.26,16830.51,12918.24,7970.38,37719.13,136745.39
2014,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,Arborist Technician,10742,78569.7,13855.84,1949.4,94374.94,17166.69,12512.53,7577.17,37256.39,131631.33
2016,General Administration & Finance,General Services Agency - City Admin,Animal Control Officer,32803,27105.15,0,75.82,27180.97,5056.01,5647.27,2162.73,12866.01,40046.98
2016,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,"Chf Stationary Eng, Sew Plant",43180,121823.9,42.59,0,121866.49,22086.71,13068.8,9680.23,44835.74,166702.23
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Tile Setter,21324,10281.18,0,0,10281.18,1985.03,1705.75,920.33,4611.11,14892.29
2013,Community Health,Public Health,Radiologic Tech Sprv,920,123558.7,2755.05,3358.43,129672.18,22414.36,12764.86,9444.83,44624.05,174296.23
2013,Public Protection,Sheriff,Institutional Police Officer,3666,66541.43,0,1401.72,67943.15,11944.13,11995.85,873.09,24813.07,92756.22
2013,Human Welfare & Neighborhood Development,"Children, Youth & Their Families",Sr Community Devl Spc 1,31064,75793.53,0,0,75793.53,13802.07,12555.62,6134.65,32492.34,108285.87
2015,Public Protection,Police,Captain 3,28649,110304.07,0,121858.48,232162.55,25188.98,6896.86,286.4,32372.24,264534.79
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Pr Payroll & Personnel Clerk,8789,81005.08,864.6,2222.19,84091.87,17708.56,13054.94,6835.49,37598.99,121690.86
2014,General Administration & Finance,General Services Agency - City Admin,Asst Med Examiner,26027,0,0,16280.49,16280.49,0,-193.95,238.12,44.17,16324.66
2013,Public Protection,Sheriff,Fingerprint Technician 2,10733,65448.01,976.8,3518,69942.81,13184.37,12918.24,5676.67,31779.28,101722.09
2014,Public Protection,Juvenile Probation,"Counselor,Log Cabin Rnch SFERS",10932,26123.4,3049.03,2117.93,31290.36,0,5513.19,2418.22,7931.41,39221.77
2015,Human Welfare & Neighborhood Development,Human Services,IS Programmer Analyst-Senior,12178,84982.81,0,0,84982.81,17668.71,10404.93,6853.17,34926.81,119909.62
2014,Public Protection,Superior Court,Admin Analyst 3,29219,96880.82,0,0,96880.82,21173.11,12954.52,7950.96,42078.59,138959.41
2015,Public Protection,Police,Police Cadet,32732,6842.66,0,0,6842.66,0,2562.37,529.75,3092.12,9934.78
2014,Human Welfare & Neighborhood Development,Child Support Services,Child Support Officer III,5954,88738.55,0,0,88738.55,18919.04,12512.55,7247.95,38679.54,127418.09
2014,Public Protection,Superior Court,Personnel/Payroll Repres,47378,76809.9,1942.09,614.4,79366.39,16506.77,10843.13,6465.57,33815.47,113181.86
2014,Public Protection,Superior Court,"Assistant Director, Probate",3067,107443.39,0,0,107443.39,22369.65,11577.7,25084.11,59031.46,166474.85
2013,"Public Works, Transportation & Commerce",Department of Building Inspection,Senior Building Inspector,5568,123532.79,12984.07,7393.12,143909.98,24593.1,12918.24,9867.34,47378.68,191288.66
2015,General Administration & Finance,Retirement System,Benefits Technician,1774,34546.01,0,12400.85,46946.86,7826.15,6896.86,3792.3,18515.31,65462.17
2013,General Administration & Finance,General Services Agency - City Admin,Media/Security Syst Supv,34508,107108.54,0,13807.31,120915.85,20519.64,12918.24,9443.56,42881.44,163797.29
2015,General Administration & Finance,Board of Supervisors,Commissioner No Benefits,43610,400,0,0,400,0,23.95,30.98,54.93,454.93
2015,"Public Works, Transportation & Commerce",Airport Commission,Window Cleaner,51677,75545.63,0,4686.58,80232.21,17996.11,12500.56,6384.92,36881.59,117113.8
2014,Culture & Recreation,Recreation and Park Commission,Volunteer/Outreach Coord,14570,61313.3,0,0,61313.3,9389.46,12512.54,4762.31,26664.31,87977.61
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Permit And Citation Clerk,36415,63951.93,0,0,63951.93,11645.56,12707.2,5360.91,29713.67,93665.6
2014,Public Protection,Department of Emergency Management,Public Service Aide-Admin,39868,11994.8,0,0,11994.8,0,4122.91,928.64,5051.55,17046.35
2014,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,Water & Power Maint Sprv 1,39150,95903.01,7523.54,2071.7,105498.25,21042.24,13054.93,8591.85,42689.02,148187.27
2013,"Public Works, Transportation & Commerce",PUC Water Department,Water Meter Repairer,34198,74990.52,2917.43,0,77907.95,14741.52,12918.24,6432.22,34091.98,111999.93
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Maintenance Controller,18556,91395.93,21403.36,26391.55,139190.84,19989.01,12777.17,9702.07,42468.25,181659.09
2014,General Administration & Finance,City Attorney,Claims Adjuster,27465,112673.01,1386.91,0,114059.92,24065.99,13054.94,9356.57,46477.5,160537.42
2015,Public Protection,Juvenile Probation,"Counselor, Log Cabin Ranch",44810,73615.18,617.84,3460.59,77693.61,16972.07,12451.16,481.37,29904.6,107598.21
2014,General Administration & Finance,Retirement System,Assistant Retirement Analyst,18874,51919.03,0,0,51919.03,11446.87,9540.15,4004.93,24991.95,76910.98
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Senior Parts Storekeeper,16076,61716.67,5387.68,4986.05,72090.4,13159.37,11234.32,5702.43,30096.12,102186.52
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Automotive Mechanic Asst Sprv,13797,33642.01,7090.75,2102.64,42835.4,7545.88,4300.79,3530.48,15377.15,58212.55
2016,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Asphalt Finisher,36447,67706.23,10354.47,2433.85,80494.55,13053.1,12810.03,6950.03,32813.16,113307.71
2014,Community Health,Public Health,Senior Medical Social Worker,27794,93098.47,0,0,93098.47,20346.43,12892,7692.01,40930.44,134028.91
2014,General Administration & Finance,General Services Agency - City Admin,Med Examiner's Investigator II,2642,77567.93,5606.81,9321.33,92496.07,17406.56,10327.83,7369.38,35103.77,127599.84
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Automotive Body & Fender Wrk,41177,59567.52,135.07,10885.81,70588.4,14255.6,9044.38,5647.21,28947.19,99535.59
2015,Public Protection,Department of Emergency Management,Emergency Med Svcs Agency Spec,25208,107964.02,0,1292.08,109256.1,23687.27,12087.46,8840.44,44615.17,153871.27
2015,Public Protection,Adult Probation,Chief Adult Prob Offcr (SFERS),44734,52438.62,0,0,52438.62,11505.04,3208.95,3197.97,17911.96,70350.58
2014,"Public Works, Transportation & Commerce",PUC Water Department,Assistant Purchaser,51139,66095.46,0,0,66095.46,14446.92,12971.97,5038.39,32457.28,98552.74
2014,Public Protection,Police,Comm Pol Svcs Aide Supervisor,35022,74306.51,0,7797.67,82104.18,17014.44,12416.67,6751.62,36182.73,118286.91
2013,Public Protection,Superior Court,Court Manager,22909,131136.09,0,0,131136.09,25069.52,12918.24,21512,59499.76,190635.85
2015,Human Welfare & Neighborhood Development,Human Services,Institution Utility Worker,26499,40563.51,0,468,41031.51,9595.32,9318.38,3360.35,22274.05,63305.56
2014,Community Health,Public Health,Bldg & Grounds Maint Sprv,6894,97809,4377.29,23124.28,125310.57,22649.9,13054.94,9738.08,45442.92,170753.49
2013,Public Protection,Police,Assistant Inspector 3,32733,128647.27,14325.97,4633.44,147606.68,22917.48,11817.03,2444.47,37178.98,184785.66
2014,Community Health,Public Health,Industrial Hygienist,5149,113618.74,0,0,113618.74,23655.46,12512.55,9007.12,45175.13,158793.87
2014,General Administration & Finance,Human Resources,Worker's Compensation Adjuster,24284,1416.99,0,420.4,1837.39,302.1,225.51,171.17,698.78,2536.17
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Track Maintenance Worker,49211,54836.43,22407.47,3397.29,80641.19,15014.33,12500.56,6092.53,33607.42,114248.61
2016,General Administration & Finance,Human Resources,Testing Technician,4385,1089,0,0,1089,0,274.34,84.52,358.86,1447.86
2014,"Public Works, Transportation & Commerce",PUC Water Department,Communications Dispatcher 2,11132,13883.42,0,696.96,14580.38,0,3349.87,1128.82,4478.69,19059.07
2016,Public Protection,Superior Court,Principal Mgmt Analyst,21296,37282.79,0,0,37282.79,0,0,2951.74,2951.74,40234.53
2014,Community Health,Public Health,IT Operations Support Admn III,8404,79161.64,0,0,79161.64,16877.27,11793.44,5788.89,34459.6,113621.24
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Cement Mason,24927,71413.02,9741.47,1080,82234.49,14236.82,12302.15,6400.46,32939.43,115173.92
2013,Culture & Recreation,Recreation and Park Commission,Aquatics Facility Asst Supv,37609,4712.83,511.8,109.23,5333.86,0,1360.19,412.95,1773.14,7107
2015,Community Health,Public Health,IT Operations Support Admin V,11956,113508.71,0,0,113508.71,24903.86,12500.56,9000.28,46404.7,159913.41
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Asphalt Worker,183,56858.56,3427.52,2367.45,62653.53,12216.99,12376.66,4814.78,29408.43,92061.96
2016,General Administration & Finance,Treasurer/Tax Collector,Senior Collections Officer,2775,76959.01,0,1645.1,78604.11,14628.2,13081.28,6473.74,34183.22,112787.33
2014,Public Protection,District Attorney,District Attry's Investigator,40633,39987,0,0,39987,0,0,3158.1,3158.1,43145.1
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Senior Parking Control Officer,39204,66802.8,8638.85,7004.85,82446.5,15581.22,12512.54,6515.37,34609.13,117055.63
2015,Public Protection,Public Defender,Court Alternative Specialist 1,1731,25472.5,0,0,25472.5,0,5507.91,2043.86,7551.77,33024.27
2014,General Administration & Finance,City Attorney,Legal Secretary 2,20407,80943.01,0,626.4,81569.41,17390.56,12512.55,6654.57,36557.68,118127.09
2013,Public Protection,Fire Department,Fire Rescue Paramedic,8174,123417.61,0,7405.06,130822.67,23168.69,12795.94,2326.09,38290.72,169113.39
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Power House Operator,21318,74112.4,2223.3,3399.45,79735.15,15800.77,12512.54,6552.5,34865.81,114600.96
2013,Public Protection,Superior Court,Court Staff Attorney II,22531,127412.48,0,600,128012.48,24496.28,12640.51,9754.52,46891.31,174903.79
2015,Community Health,Public Health,Manager VIII,36782,241505,0,0,241505,48429.04,11946.64,18731.44,79107.12,320612.12
2015,"Public Works, Transportation & Commerce",Department of Building Inspection,Senior Housing Inspector,39008,69869.11,0,2794.76,72663.87,15942.44,7040.55,5943.27,28926.26,101590.13
2015,Community Health,Public Health,Senior Unit Clerk,29721,67495.11,733.2,240,68468.31,15148.11,12500.56,5516.1,33164.77,101633.08
2015,"Public Works, Transportation & Commerce",Airport Commission,Auditor III,28627,116384.04,0,0,116384.04,23422.64,12424.5,9337.82,45184.96,161569
2015,"Public Works, Transportation & Commerce",Airport Commission,Airport Safety Officer,9104,87908.4,26465.26,11357.61,125731.27,21515,12500.56,9783.11,43798.67,169529.94
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Manager IV, Municipal Transportation Age",3912,5058.38,0,0,5058.38,895.84,478.45,399.49,1773.78,6832.16
2016,"Public Works, Transportation & Commerce",Department of Building Inspection,Permit Technician II,45291,75996.95,1846.55,40,77883.5,14150.47,13068.8,6386.99,33606.26,111489.76
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Automotive Trnst Shop Sprv 1,16192,111384,25599.6,8431.52,145415.12,19823.61,12801.79,9653.65,42279.05,187694.17
2013,Community Health,Public Health,Senior Pharmacy Helper,48505,70742,835.44,393.15,71970.59,13901.01,12918.24,5947.33,32766.58,104737.17
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Car Cleaner Asst Sprv,4556,64558,19534.03,11587.06,95679.09,13530.46,12801.79,7859.2,34191.45,129870.54
2015,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,Wastewater Control Inspector,37633,96254.08,3345.58,0,99599.66,19838.21,12424.5,8125.17,40387.88,139987.54
2015,Public Protection,Fire Department,Marine Engineer Of Fire Boats,16745,148121.12,32674.21,24863.2,205658.53,35834.63,15086.88,3462.27,54383.78,260042.31
2013,"Public Works, Transportation & Commerce",PUC Water Department,Electrician Supervisor 1,35719,103116.06,743.63,434,104293.69,18339.26,12801.74,8719.08,39860.08,144153.77
2016,"Public Works, Transportation & Commerce",Airport Commission,Airport Noise Abatement Spec,42630,60582,0,0,60582,11274.38,11422.73,4887.43,27584.54,88166.54
2013,Public Protection,Juvenile Probation,Employment & Training Spec 5,52007,2119.28,0,0,2119.28,0,319.97,164.08,484.05,2603.33
2016,Public Protection,Police,Lieutenant 2,34459,158513.79,62637.84,15892.13,237043.76,28124.45,13156.1,4037.86,45318.41,282362.17
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Sr Transit Information Clerk,35097,55466.06,0,7067.28,62533.34,11934.24,10199.4,5125.67,27259.31,89792.65
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Graphic Artist,7218,15932.11,0,1630.15,17562.26,0,3301.33,1383.17,4684.5,22246.76
2014,"Public Works, Transportation & Commerce",Department of Building Inspection,Plumbing Inspector,28302,107941.84,157.06,4205.89,112304.79,23349.17,12512.55,8966.45,44828.17,157132.96
2015,Culture & Recreation,Arts Commission,Arts Program Assistant,30717,31682.19,0,115.27,31797.46,7106.3,6426.23,2303.23,15835.76,47633.22
2015,"Public Works, Transportation & Commerce",PUC Water Department,Chemist III,45796,118057.9,0,0,118057.9,25901.82,12500.56,9515.72,47918.1,165976
2015,General Administration & Finance,Human Resources,Special Examiner,33961,154.88,0,0,154.88,0,0,12.24,12.24,167.12
2015,Human Welfare & Neighborhood Development,Human Services,Legal Assistant,3457,83528.04,0,0,83528.04,17211.04,12424.5,6854.94,36490.48,120018.52
2013,"Public Works, Transportation & Commerce",PUC Water Department,Integrated Pest Mgmt Specialst,31303,78567,0,0,78567,15444.47,12918.24,6497.71,34860.42,113427.42
2013,General Administration & Finance,General Services Agency - City Admin,Shelter Service Rep,48520,36694.12,39.66,206.85,36940.63,7091.72,8224.26,3154.27,18470.25,55410.88
2016,Public Protection,Police,Chief Clerk,12738,2405.75,0,3.25,2409,448.31,367.74,210.45,1026.5,3435.5
2013,Community Health,Public Health,Patient Svcs Finance Tech,26724,60210.04,0,984.91,61194.95,11958.42,12918.24,4965.8,29842.46,91037.41
2016,Community Health,Public Health,Environmental Hlth Tech 1,38751,72720.33,0,69.6,72789.93,13546.12,12750.82,6013.57,32310.51,105100.44
2014,General Administration & Finance,Controller,IS Prg Analyst-Principal,11600,113244.91,205.97,18466.84,131917.72,23577.62,12512.55,9352.15,45442.32,177360.04
2015,Public Protection,Police,Invstgtor Ofc Citizen Cmplnts,33880,84882.71,0,1486.53,86369.24,17976.12,11280.14,6939.91,36196.17,122565.41
2014,"Public Works, Transportation & Commerce",PUC Water Department,Watershed Forester,31070,99998.01,0,0,99998.01,21924.27,13054.94,17276.62,52255.83,152253.84
2014,General Administration & Finance,General Services Agency - City Admin,Purchaser,38201,83251.01,0,0,83251.01,18193.94,13054.94,6708.66,37957.54,121208.55
2016,Community Health,Public Health,EEO Programs Specialist,27427,23229.33,0,0,23229.33,1052.72,4113.62,1860.88,7027.22,30256.55
2016,General Administration & Finance,Human Resources,EEO Senior Specialist,47071,115814.1,0,5790.71,121604.81,22047.02,13068.8,9862.07,44977.89,166582.7
2014,Public Protection,Police,Payroll Clerk,52828,70329.14,2750.74,624,73703.88,15506.76,13054.94,6071.11,34632.81,108336.69
2015,General Administration & Finance,General Services Agency - City Admin,Med Examiner's Investigatoriii,41185,56656.8,9075.15,18255.07,83987.02,12883.13,6558.7,6704.62,26146.45,110133.47
2013,Community Health,Public Health,Health Program Coordinator 1,30022,67941.01,0,246.78,68187.79,9785.22,12918.24,5504.44,28207.9,96395.69
2013,Public Protection,Police,Criminalist III,33246,135376.94,0,0,135376.94,23975.31,12801.79,10038.58,46815.68,182192.62
2015,"Public Works, Transportation & Commerce",Airport Commission,Survey Associate,26219,80290.54,0,1170,81460.54,16673.74,10245.37,5964.34,32883.45,114343.99
2016,Public Protection,Police,IS Manager,18675,174471.41,0,0,174471.41,31631.67,13068.81,18579.25,63279.73,237751.14
2015,General Administration & Finance,Controller,Accountant IV,331,24457.25,0,0,24457.25,0,2733,1893.48,4626.48,29083.73
2015,"Public Works, Transportation & Commerce",Airport Commission,Head Airport Electrician,47894,5176,727.88,420,6323.88,968.84,477.86,108.82,1555.52,7879.4
2015,"Public Works, Transportation & Commerce",PUC Water Department,"Sr Statnry Eng, Wtr Treat Plnt",36625,105785.99,2633.34,6523.05,114942.38,23220.06,12388.65,9436.57,45045.28,159987.66
2014,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Safety Analyst,50198,114888.16,0,0,114888.16,24537.96,13054.94,9429.8,47022.7,161910.86
2015,General Administration & Finance,City Planning,"Brd Comm Mbr, M=$200/Mtg",1393,1000,0,0,1000,0,0,79,79,1079
2015,General Administration & Finance,General Services Agency - City Admin,Senior Real Property Officer,24589,101036.39,0,0,101036.39,20565.13,10284.98,8175.88,39025.99,140062.38
2014,Public Protection,Fire Department,"Lieut,Fire Prev",6762,147160.09,11003.07,30939.63,189102.79,33458.86,13054.94,3063.94,49577.74,238680.53
2013,Community Health,Public Health,Home Health Aide,1148,41888.81,1978.22,4808.25,48675.28,9912.02,12911.24,3901.57,26724.83,75400.11
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Executive Secretary 3,5,55877.5,0,0,55877.5,10175.37,8616.59,4627.97,23419.93,79297.43
2014,General Administration & Finance,Controller,Auditor II,26971,82551.71,0,0,82551.71,17599.96,12512.55,6588.83,36701.34,119253.05
2014,Community Health,Public Health,Dentist,22645,6440.67,0,0,6440.67,5068.12,0,2176.54,7244.66,13685.33
2016,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,Electr Instrmntn Tech Wtr Poll,5455,110966.86,314.78,11862.31,123143.95,20118.25,12884.69,10047.67,43050.61,166194.56
2014,Public Protection,Fire Department,"Capt,Fire Prev Or Fire Invsgtn",14233,152712,34687.44,13407.72,200807.16,32892.85,11326.01,3321.23,47540.09,248347.25
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Materials Testing Aide,5154,37545.64,2701.14,0,40246.78,3372.84,8982.73,3187.09,15542.66,55789.44
2015,Public Protection,Sheriff,Chief Deputy Sheriff,17792,170027.9,3203.02,14552.23,187783.15,43413.37,12500.56,3187.01,59100.94,246884.09
2016,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Engineering Associate 2,20916,97707.42,0,0,97707.42,18183.33,13068.8,7788.35,39040.48,136747.9
2016,General Administration & Finance,City Planning,City Planning Intern,53613,2765,0,0,2765,0,698.34,214.61,912.95,3677.95
2014,General Administration & Finance,General Services Agency - Technology,Fire Alarm Dispatcher,22240,42904.2,2760.43,2946.5,48611.13,9529,8251.81,4369.11,22149.92,70761.05
2015,"Public Works, Transportation & Commerce",Airport Commission,Airport Economic Planner,14594,125284.04,0,0,125284.04,25213.79,12424.5,9921.39,47559.68,172843.72
2014,Public Protection,Superior Court,Court Computer Sys Manager,33726,148952.78,0,0,148952.78,31012.02,12512.55,22551.49,66076.06,215028.84
2015,Public Protection,Police,Commander 3,49283,223225.23,0,14468.33,237693.56,48080.7,12500.56,3966.44,64547.7,302241.26
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Street Inspection Supervisor,52656,104736.52,3601.47,0,108337.99,20432.62,12918.24,8958.14,42309,150646.99
2015,Human Welfare & Neighborhood Development,Human Services,Medical Social Work Supervisor,46321,3734,0,40,3774,702.34,477.86,279.09,1459.29,5233.29
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Car And Auto Painter,6867,79283.53,15388.93,16423.99,111096.45,18061.72,12918.25,9070.25,40050.22,151146.67
2013,Public Protection,Fire Department,Fire Safety Inspector 2,12901,139644,33305.08,8378.64,181327.72,28346.09,12918.24,10620.64,51884.97,233212.69
2016,Public Protection,Police,Special Assistant 10,48340,44545.9,0,0,44545.9,0,5960.78,3457.69,9418.47,53964.37
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Paint Shop Sprv1,42,0,0,6407.92,6407.92,0,0,490.22,490.22,6898.14
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Manager VI, MTA",41130,133677.83,0,0,133677.83,27831.71,10834.62,15746.15,54412.48,188090.31
2015,Culture & Recreation,Recreation and Park Commission,Ornamental Iron Worker,22702,82080.79,6106.11,1291.92,89478.82,18640.41,12389.79,7299.03,38329.23,127808.05
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Senior Maintenance Controller,5365,11126.7,2621.35,2379.88,16127.93,2870.08,1293.16,1295.69,5458.93,21586.86
2016,Community Health,Public Health,Medical Transcriber Typist,35867,67233.21,0,628.8,67862.01,12629.14,13068.8,5575.35,31273.29,99135.3
2014,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,Electrician Supervisor 2,39016,82966.02,8748.57,3525.81,95240.4,17988.84,9540.15,7226.02,34755.01,129995.41
2015,Community Health,Public Health,Central Processing & Dist Tech,25958,0,0,981.36,981.36,0,0,75.07,75.07,1056.43
2013,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,Maintenance Scheduler,8979,3378,0,0,3378,615.13,0,266.87,882,4260
2014,Community Health,Public Health,Senior Laundry Worker,34214,53120.99,7164.62,20164.69,80450.3,12682.88,13054.94,6470.12,32207.94,112658.24
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,IS Administrator 3,43631,5821.5,0,271.67,6093.17,1241.14,719.12,462.13,2422.39,8515.56
2013,Public Protection,District Attorney,Sr District Atty Investigator,7586,93698.02,8793.29,5622.78,108114.09,17399.16,10525.98,1827.49,29752.63,137866.72
2016,"Public Works, Transportation & Commerce",Airport Commission,Project Manager 4,38594,40939.5,0,0,40939.5,7422.33,2444.17,3250.36,13116.86,54056.36
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Hodcarrier,16629,71976.1,8519.36,1222,81717.46,13329.37,12752.54,6802.43,32884.34,114601.8
2015,Public Protection,Superior Court,Court Interpreter,2796,65536.88,0,480.6,66017.48,14807.74,10981.69,5197.52,30986.95,97004.43
2015,Culture & Recreation,Recreation and Park Commission,Nursery Specialist,2481,75464.12,2185.35,3026.54,80676.01,16926.58,12452.65,6628.2,36007.43,116683.44
2013,Culture & Recreation,Recreation and Park Commission,Events & Facilities Specialist,12593,76447.81,8492.64,1118.03,86058.48,15246.3,12918.24,6859.61,35024.15,121082.63
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Architectural Associate 2,28456,109668.05,0,0,109668.05,19422.25,12801.76,9190.41,41414.42,151082.47
2013,Culture & Recreation,Recreation and Park Commission,Animal Keeper,47395,62509.5,718.06,3592.5,66820.06,11382.99,12851.03,5568.19,29802.21,96622.27
2013,Public Protection,Superior Court,Deputy Court Clerk I,26749,14296.5,0,382.32,14678.82,2960.8,3988.25,1166.23,8115.28,22794.1
